id,company_id,sales_growth_period,sales_growth,profit_growth_period,profit_growth,stock_price_cagr_period,stock_price_cagr,roe_period,roe
1,HDFCBANK,10 Years,21.0,10 Years,22.0,10 Years,15.0,10 Years,17.0
10,SBILIFE,5 Years,24.0,5 Years,6.0,5 Years,8.0,5 Years,14.0
11,SBILIFE,3 Years,17.0,3 Years,9.0,3 Years,7.0,3 Years,13.0
12,SBILIFE,TTM,43.0,TTM,18.0,1 Year,-2.0,Last Year,12.0
13,TCS,10 Years,11.0,10 Years,9.0,10 Years,14.0,10 Years,40.0
14,TCS,5 Years,10.0,5 Years,8.0,5 Years,16.0,5 Years,44.0
15,TCS,3 Years,14.0,3 Years,12.0,3 Years,8.0,3 Years,47.0
16,TCS,TTM,5.0,TTM,8.0,1 Year,16.0,Last Year,52.0
17,WIPRO,10 Years,8.0,10 Years,3.0,10 Years,12.0,10 Years,18.0
18,WIPRO,5 Years,9.0,5 Years,4.0,5 Years,20.0,5 Years,17.0
19,WIPRO,3 Years,13.0,3 Years,0.0,3 Years,-1.0,3 Years,17.0
2,HDFCBANK,5 Years,22.0,5 Years,23.0,5 Years,8.0,5 Years,17.0
20,WIPRO,TTM,-3.0,TTM,1.0,1 Year,39.0,Last Year,14.0
3,HDFCBANK,3 Years,30.0,3 Years,26.0,3 Years,8.0,3 Years,17.0
4,HDFCBANK,TTM,47.0,TTM,27.0,1 Year,13.0,Last Year,17.0
5,INFY,10 Years,12.0,10 Years,9.0,10 Years,15.0,10 Years,27.0
6,INFY,5 Years,13.0,5 Years,11.0,5 Years,22.0,5 Years,29.0
7,INFY,3 Years,5.0,3 Years,10.0,3 Years,4.0,3 Years,31.0
8,INFY,TTM,3.0,TTM,8.0,1 Year,27.0,Last Year,32.0
9,SBILIFE,10 Years,23.0,10 Years,9.0,10 Years,9.0,10 Years,16.0
